section,group,qualified_name,name,aliases,help,module,line,kind
main,story1,시즌4 선택,선택,,,v730_season_story,597,command
main,story1,시즌4 시작,시작,,,v730_season_story,576,command
main,story1,시즌4 재시작,재시작,,,v730_season_story,623,command
main,story1,시즌사건,시즌사건,seasonevent | weeklyevent,이번 주 챔피언십 특별 규칙을 확인합니다.,v1140_championship_alliance_casino_story,383,command
main,story1,시즌순위,시즌순위,seasonranking | championshipranking,현재 서버의 챔피언십 순위를 확인합니다.,v1140_championship_alliance_casino_story,316,command
main,story1,시즌여정,시즌여정,스토리여정 | 시즌현황 | 스토리해금,스토리 시즌 1~4 완료·잠금·엔딩 수집 현황을 확인합니다.,v730_season_story,650,command
main,story1,안정화검수,안정화검수,731검수 | 스토리잠금검수,v7.3.1 스토리 잠금과 운영 안정성을 검사합니다.,v731_duplicate_stability,218,command
main,story1,역사도감,역사도감,historycatalog | citycodex,도시 사건 유형별 누적 기록을 확인합니다.,v1320_black_city_complete,708,command
main,story1,연합대항순위,연합대항순위,alliancewarranking | allianceranking,전체 서버 연합 대항전 순위를 확인합니다.,v1140_championship_alliance_casino_story,411,command
main,story1,연합대항전,연합대항전,alliancewar | alliancechampionship,연합 대항전 상태와 현재 점수를 확인합니다.,v1140_championship_alliance_casino_story,388,command
main,story1,연합대항전참가,연합대항전참가,joinalliancewar | alliancewarjoin,현재 서버 연합을 시즌 대항전에 등록합니다.,v1140_championship_alliance_casino_story,397,command
main,story1,연합상점,연합상점,allianceshop | alliancewarshop,연합 대항전에서 해금할 수 있는 장식을 확인합니다.,v1140_championship_alliance_casino_story,422,command
main,story1,연합임무,연합임무,alliancemissions | alliancewarquests,연합 대항전 주간 임무를 확인합니다.,v1140_championship_alliance_casino_story,417,command
main,story1,용어사전,용어사전,용어설명 | 기능설명 | glossary | termguide,스토리·차원·세력·크루·카지노·도박 등 주요 용어를 짧게 설명합니다.,v1660_first_survival_live_qa,682,command
main,story1,원정,원정,원정대,,v430_story_expedition,1027,group
main,story1,원정 기록,기록,,,v430_story_expedition,1415,command
main,story1,원정 도움말,도움말,,,v430_story_expedition,1057,command
main,story1,원정 랭킹,랭킹,,,v430_story_expedition,1426,command
main,story1,원정 보급,보급,,,v430_story_expedition,1375,command
main,story1,원정 출발,출발,,,v430_story_expedition,1094,command
main,story1,원정 포기,포기,,,v430_story_expedition,1358,command
main,story1,원정 행동,행동,,,v430_story_expedition,1142,command
main,story1,월드보스이력,월드보스이력,월보이력 | worldbosshistory,,v630_world_boss,1252,command
main,story1,장식구매,장식구매,buydecoration | purchasedecor,칩으로 개인 카지노 장식을 구매합니다.,v1140_championship_alliance_casino_story,456,command
main,story1,장식상점,장식상점,decorationshop | casinodecorstore,개인 카지노 장식 목록과 가격을 확인합니다.,v1140_championship_alliance_casino_story,450,command
main,story1,재시작,재시작,,,v33_story,549,command
main,story1,중복검수,중복검수,기능중복검수 | 중복감사,중복 명령·설정·스토리 진행 상태를 삭제 없이 검사합니다.,v731_duplicate_stability,176,command
main,story1,채무기록,채무기록,debthistory,,v1090_integrated_renewal,1819,command
main,story1,챔피언도전,챔피언도전,challengechampion | championchallenge,10LP 이상이면 챔피언 테이블에서 아바돈에게 도전합니다.,v1140_championship_alliance_casino_story,326,command
main,story1,챔피언십,챔피언십,championship | abaddonchampionship,현재 시즌 이벤트·리그 점수·챔피언 도전 조건을 확인합니다.,v1140_championship_alliance_casino_story,286,command
main,story1,최근명령,최근명령,recentcommands | commandhistory,최근 완료한 명령을 확인합니다.,v1620_living_legends,890,command
main,story1,카드캠페인,카드캠페인,cardcampaign | storycampaign,ABADDON 스토리형 카드 캠페인 진행 상황을 확인합니다.,v1140_championship_alliance_casino_story,484,command
main,story1,카지노공개,카지노공개,publishcasino | casinoprivacy,개인 카지노 공개 여부를 설정합니다.,v1140_championship_alliance_casino_story,476,command
main,story1,카지노꾸미기,카지노꾸미기,decoratecasino | casinodesign,개인 카지노 이름을 변경합니다.,v1140_championship_alliance_casino_story,441,command
main,story1,캠페인기록,캠페인기록,campaignlog | storylog,완료 챕터·선택·보상 기록을 확인합니다.,v1140_championship_alliance_casino_story,546,command
main,story1,캠페인보상,캠페인보상,campaignreward | storyreward,완료한 캠페인 챕터 보상을 수령합니다.,v1140_championship_alliance_casino_story,536,command
main,story1,캠페인선택,캠페인선택,campaignchoice | storychoice,스토리 캠페인의 기본 성향을 선택합니다.,v1140_championship_alliance_casino_story,494,command
main,story1,캠페인진행,캠페인진행,advancecampaign | campaignadvance,현재 챕터 조건을 검사하고 다음 챕터로 진행합니다.,v1140_championship_alliance_casino_story,516,command
main,story1,탐사기록,탐사기록,expeditionhistory | globalexpeditionhistory,최근 서버 공동 글로벌 탐사 기록을 확인합니다.,v1000_global_survivor,1461,command
main,story1,현상금기록,현상금기록,표적기록 | bountyhistory | hunthistory,개인 현상금 완료 기록을 확인합니다.,v950_investigation_shelter_raid,679,command
main,story2,시즌2,시즌2,백색방주 | 후일담,,v430_story_expedition,720,group
main,story3,시즌3,시즌3,종말의왕좌 | 왕좌,,v600_game_center,2785,group
main,story4,시즌4,시즌4,황혼의종착역 | 황혼선,,v730_season_story,567,group
main,story4,시즌유산,시즌유산,황혼유산 | 시즌4보상,시즌 4 엔딩 수집 단계 보상을 확인하고 받습니다.,v730_season_story,692,command
main,story5,세계연대기,세계연대기,시즌5기록 | 연합연대기,세력·호송·전쟁·시즌 선택 기록을 확인합니다.,v900_faction_world_state,1347,command
main,story5,시즌5,시즌5,시즌5스토리 | 연합전선스토리,시즌 5 잿빛 연합전선의 현재 장과 선택지를 확인합니다.,v900_faction_world_state,1253,command
main,story5,시즌5결정,시즌5결정,연합전선결정 | 시즌결정,관리자가 현재 장의 투표 결과를 확정합니다.,v900_faction_world_state,1315,command
main,story5,시즌5투표,시즌5투표,연합전선투표 | 시즌투표,현재 시즌 5 장의 선택지에 투표합니다.,v900_faction_world_state,1295,command
main,story6,시즌6,시즌6,season6 | 검은태양 | blacksun,시즌 6 현재 장면·투표·도시 지표와 공동 결말 진행을 확인합니다.,v1700_creator_forge_season6,804,command
main,story6,시즌6결정,시즌6결정,season6resolve | blackSunResolve,관리자가 현재 장의 최다 득표 선택을 확정합니다. 번호를 지정해 강제 결정할 수 있습니다.,v1700_creator_forge_season6,821,command
main,story6,시즌6기록,시즌6기록,season6history | blackSunHistory,시즌 6 서버 투표와 결정 연대기를 확인합니다.,v1700_creator_forge_season6,850,command
main,story6,시즌6보상,시즌6보상,season6reward | blackSunReward,시즌 6 완료 후 참여 보상을 한 번 수령합니다.,v1700_creator_forge_season6,866,command
main,story6,시즌6시작,시즌6시작,season6start | blackSunStart,관리자가 시즌 6 검은 태양의 귀환을 시작합니다.,v1700_creator_forge_season6,791,command
main,story6,시즌6투표,시즌6투표,season6vote | blackSunVote,시즌 6 현재 장의 선택지 1~3에 투표합니다.,v1700_creator_forge_season6,810,command
play,casino,1631통합검수,1631통합검수,v1631audit | 1631audit | 1630통합검수 | v1630audit | 1630audit,v16.3.1 메인 RPG 명령센터·카지노/도박 분리·신규 안내·정부지원금·채집 결과 변화 연결을 검사합니다.,v1630_core_rpg_command_city_overhaul,1714,command
play,casino,vip,vip,,카지노 VIP 등급과 혜택을 확인합니다.,v40_black_casino,1010,command
play,casino,경제정산검수,경제정산검수,카지노정산검수 | economysettlementaudit | casinosettlementaudit,카지노·도박·경마·정부지원금의 정산·중복 지급·음수 잔액 안전망을 검사합니다.,v1660_first_survival_live_qa,725,command
play,casino,구매,구매,,카지노 NPC 상점에서 아이템을 구매합니다.,v40_black_casino,1034,command
play,casino,금고개설,금고개설,카지노금고개설,,v638_hardcore_arcade,1291,command
play,casino,다이스,다이스,,,v39_casino,1388,command
play,casino,도박분류검수,도박분류검수,gamblingcategoryaudit | casinoaudit1631,카지노·비카지노 도박·정부지원금의 명령어 센터 분류와 빠른 이동을 검사합니다.,v1630_core_rpg_command_city_overhaul,1610,command
play,casino,럭키휠,럭키휠,,,v40_black_casino,1096,command
play,casino,룰렛,룰렛,,1/6부터 위험도가 증가하는 기존 생존 룰렛을 실행합니다.,v39_casino,1339,command
play,casino,미션,미션,,오늘의 카지노 미션을 확인합니다.,v40_black_casino,1018,command
play,casino,바카라,바카라,,,v39_casino,1393,command
play,casino,블랙잭,블랙잭,,,v39_casino,1373,command
play,casino,블랙잭토너먼트,블랙잭토너먼트,blackjacktournament | bjtournament,,v1090_integrated_renewal,1464,command
play,casino,상점,상점,,카지노 전용 NPC 상점을 확인합니다.,v40_black_casino,1030,command
play,casino,세븐카드스터드,세븐카드스터드,세븐포커 | sevencardstud | studpoker,,v1010_companion_card_games,1010,command
play,casino,수집도감,수집도감,collectioncatalog | collectionbook,화투·포커 족보·경마 우승마·딜러·장식 수집을 확인합니다.,v1190_event_broadcast_collection,649,command
play,casino,슬롯,슬롯,,,v39_casino,1383,command
play,casino,시즌랭킹,시즌랭킹,,시즌·전체·오늘 TOP100 순이익 랭킹을 확인합니다.,v40_black_casino,1053,command
play,casino,업적,업적,,BLACK CASINO 100종 이상 업적을 페이지별로 확인합니다.,v40_black_casino,1026,command
play,casino,올인,올인,,,v40_black_casino,1106,command
play,casino,인디언포커,인디언포커,indianpoker,,v1050_unified_expansion,1155,command
play,casino,잔액,잔액,,"카지노 전적, 실시간 칩, 오늘·누적 손익을 확인합니다.",v39_casino,1353,command
play,casino,장식도감,장식도감,decorationcatalog | decorbook,개인 카지노 장식 수집 현황을 확인합니다.,v1190_event_broadcast_collection,684,command
play,casino,잭팟,잭팟,,전 서버 누적 잭팟을 확인합니다.,v40_black_casino,1014,command
play,casino,주사위카드,주사위카드,dicecard | dicecardpoker,,v1090_integrated_renewal,1444,command
play,casino,주파수,주파수,,세 개의 검은 신호를 맞추는 기존 주파수 슬롯을 실행합니다.,v39_casino,1344,command
play,casino,카드바카라,카드바카라,바카라방 | baccarattable | cardbaccarat,,v1050_unified_expansion,1159,command
play,casino,카드블랙잭,카드블랙잭,블랙잭방 | blackjacktable | cardblackjack,,v1050_unified_expansion,1157,command
play,casino,카지노VIP,카지노VIP,,,v40_black_casino,1067,command
play,casino,카지노구매,카지노구매,,,v40_black_casino,1091,command
play,casino,카지노기록,카지노기록,,,v39_casino,1401,command
play,casino,카지노도움말,카지노도움말,,,v39_casino,1409,command
play,casino,카지노딜러,카지노딜러,,,v40_black_casino,1110,command
play,casino,카지노랭킹,카지노랭킹,,,v39_casino,1405,command
play,casino,카지노미션,카지노미션,,,v40_black_casino,1075,command
play,casino,카지노미션보상,카지노미션보상,,,v40_black_casino,1079,command
play,casino,카지노상점,카지노상점,,,v40_black_casino,1087,command
play,casino,카지노시즌랭킹,카지노시즌랭킹,,,v40_black_casino,1114,command
play,casino,카지노업적,카지노업적,,,v40_black_casino,1083,command
play,casino,카지노잔액,카지노잔액,카지노자금,,v39_casino,1397,command
play,casino,카지노잭팟,카지노잭팟,,,v40_black_casino,1071,command
play,casino,카지노칩,카지노칩,,,v40_black_casino,1058,command
play,casino,카지노환전,카지노환전,,,v40_black_casino,1063,command
play,casino,코인플립,코인플립,,,v40_black_casino,1101,command
play,casino,탐색,탐색,,왼쪽·오른쪽 폐허 통로를 선택하는 기존 방향 도박입니다.,v39_casino,1349,command
play,casino,파인애플홀덤,파인애플홀덤,파인애플포커 | pineappleholdem | pineapple,,v1050_unified_expansion,1147,command
play,casino,포커,포커,생존자포커,,v651_card_games,1091,command
play,casino,포커족보도감,포커족보도감,pokerhandcatalog | pokerhandbook,발견한 포커 족보를 확인합니다.,v1190_event_broadcast_collection,665,command
play,casino,하이로우,하이로우,,,v39_casino,1378,command
play,casino,하이로우포커,하이로우포커,하이로우카드 | highlowpoker | hilo,,v1050_unified_expansion,1153,command
play,casino,환전,환전,,식량과 카지노 칩을 교환합니다.,v40_black_casino,1006,command
play,combat,기지방어,기지방어,,,v636_world_combat,382,command
play,combat,기지방어공격,기지방어공격,,,v636_world_combat,401,command
play,combat,기지칩교환,기지칩교환,,,v636_world_combat,347,command
play,combat,날씨,날씨,,,v636_world_combat,265,command
play,combat,단서목록,단서목록,내단서 | clues | cluelist,보유한 사건 단서와 수량을 확인합니다.,v950_investigation_shelter_raid,484,command
play,combat,단서조사,단서조사,사건조사 | investigate | searchclue,현장·기록·증언 중 하나를 조사해 단서를 확보합니다.,v950_investigation_shelter_raid,493,command
play,combat,단서조합,단서조합,증거연결 | combineclues | linkevidence,보유한 두 단서를 연결해 사건의 논리 고리를 완성합니다.,v950_investigation_shelter_raid,505,command
play,combat,대피소,대피소,개인대피소 | shelter | myshelter,개인 대피소의 테마·장식·전시품을 확인합니다.,v950_investigation_shelter_raid,702,command
play,combat,대피소꾸미기,대피소꾸미기,대피소테마 | decorateshelter | sheltertheme,개인 대피소 테마를 변경합니다.,v950_investigation_shelter_raid,708,command
play,combat,대피소방문,대피소방문,대피소구경 | visitshelter | viewshelter,다른 생존자의 개인 대피소를 방문합니다.,v950_investigation_shelter_raid,782,command
play,combat,대피소좋아요,대피소좋아요,대피소추천 | likeshelter | shelterlike,다른 생존자의 개인 대피소에 좋아요를 남깁니다.,v950_investigation_shelter_raid,796,command
play,combat,던전기록,던전기록,,,v21_reborn,674,command
play,combat,던전순위,던전순위,dungeonranking | expeditionranking,서버 탐험 완료 순위를 확인합니다.,v1220_chaos_festival_complete,1360,command
play,combat,던전전술,던전전술,,,v636_world_combat,670,command
play,combat,보스도감,보스도감,,,v21_reborn,686,command
play,combat,사건추리,사건추리,사건해결 | solvecase | deducecase,연결된 증거를 바탕으로 사건의 배후를 지목합니다.,v950_investigation_shelter_raid,539,command
play,combat,사건판,사건판,수사사건현황 | caseboard | investigationboard,이번 주 폐허 사건과 공동 수사 진행도를 확인합니다.,v950_investigation_shelter_raid,462,command
play,combat,수사레이드,수사레이드,협동수사 | investigationraid | caseraid,현재 협동 수사 레이드 모집·진행·완료 상태를 확인합니다.,v950_investigation_shelter_raid,881,command
play,combat,수사레이드모집,수사레이드모집,수사대모집 | openinvestigationraid | openraidcase,협동 수사 레이드 모집을 시작합니다.,v950_investigation_shelter_raid,893,command
play,combat,수사레이드보상,수사레이드보상,수사대보상 | claiminvestigationraid | claimcaseraid,정산된 협동 수사 레이드의 개인 기여 보상을 받습니다.,v950_investigation_shelter_raid,994,command
play,combat,수사레이드정산,수사레이드정산,수사대정산 | settleinvestigationraid | settlecaseraid,완료된 협동 수사 레이드를 한 번만 정산합니다.,v950_investigation_shelter_raid,971,command
play,combat,수사레이드참가,수사레이드참가,수사대참가 | joininvestigationraid | joincaseraid,현장수사·기술분석·현장경계·교섭 역할로 참가합니다.,v950_investigation_shelter_raid,910,command
play,combat,수사레이드출발,수사레이드출발,수사대출발 | startinvestigationraid | startcaseraid,모집자가 2명 이상의 수사 레이드를 출발시킵니다.,v950_investigation_shelter_raid,932,command
play,combat,수사레이드행동,수사레이드행동,수사대행동 | investigationaction | raidinvestigate,수색·분석·확보·교차검증 행동으로 공동 진행도를 올립니다.,v950_investigation_shelter_raid,953,command
play,combat,심층던전,심층던전,층던전,,v21_reborn,591,command
play,combat,월드보스기여도,월드보스기여도,내기여도 | 월보기여도,,v630_world_boss,1110,command
play,combat,월드보스도감,월드보스도감,월보도감,,v630_world_boss,1271,command
play,combat,월드보스목록,월드보스목록,보스목록 | 월보목록 | worldbosslist,,v630_world_boss,1104,command
play,combat,월드보스보상,월드보스보상,보스보상 | 월보보상,,v630_world_boss,1179,command
play,combat,월드보스보상목록,월드보스보상목록,월보보상목록 | worldbossrewards,,v630_world_boss,1151,command
play,combat,월드보스주간랭킹,월드보스주간랭킹,월보주간랭킹 | 주간월보랭킹,,v710_growth_loop,748,command
play,combat,월드보스주간보상,월드보스주간보상,월보주간보상,,v710_growth_loop,773,command
play,combat,자원구매,자원구매,,,v636_world_combat,304,command
play,combat,자원시장,자원시장,,,v636_world_combat,282,command
play,combat,자원판매,자원판매,,,v636_world_combat,325,command
play,combat,전시실,전시실,트로피실 | showcase | trophyroom,보유 트로피와 현재 전시 중인 수집품을 확인합니다.,v950_investigation_shelter_raid,753,command
play,combat,전투,전투,,,v636_world_combat,666,command
play,combat,전투상태,전투상태,,,v636_world_combat,674,command
play,combat,전투포기,전투포기,,,v636_world_combat,685,command
play,combat,지역보상,지역보상,개척보상 | 지도보상,격파한 지역 보스의 개인 기여 보상을 받습니다.,v810_world_map_ux,882,command
play,combat,지역보스,지역보스,개척보스 | 지도보스,지역 개척 보스 상태를 확인합니다.,v810_world_map_ux,801,command
play,combat,지역보스공격,지역보스공격,개척보스공격 | 지도보스공격,활성 지역 보스를 공격합니다.,v810_world_map_ux,821,command
play,combat,침공공격,침공공격,침공전투,,v30_invasion,284,command
play,combat,트로피전시,트로피전시,전시등록 | displaytrophy | showtrophy,보유한 트로피를 개인 대피소 전시실에 올립니다.,v950_investigation_shelter_raid,761,command
play,combat,현상금,현상금,현상금목록 | bounty | bounties,이번 주 공동 현상금 표적과 추적 진행도를 확인합니다.,v950_investigation_shelter_raid,585,command
play,combat,현상금보고,현상금보고,현상금보상 | claimbounty | bountyreport,완료된 주간 현상금의 개인 기여 보상을 받습니다.,v950_investigation_shelter_raid,641,command
play,combat,현상금추적,현상금추적,표적추적 | trackbounty | huntbounty,추적·잠복·협상·제압 방식으로 주간 현상금 진행도를 올립니다.,v950_investigation_shelter_raid,594,command
play,combat,협동보스,협동보스,coopboss,,v1050_unified_expansion,1482,command
play,combat,협동보스공격,협동보스공격,attackcoopboss,,v1050_unified_expansion,1486,command
play,combat,협동보스소환,협동보스소환,summoncoopboss,,v1050_unified_expansion,1472,command
play,economy,거래검색,거래검색,,,v21_reborn,728,command
play,economy,거래구매,거래구매,citymarketbuy | buycitylisting,도시 거래소의 판매 글을 구매합니다.,v1320_black_city_complete,511,command
play,economy,거래기록,거래기록,,,v21_reborn,838,command
play,economy,경제대시보드,경제대시보드,economydashboard,,v1090_integrated_renewal,1707,command
play,economy,경제밸런스,경제밸런스,경제변경,,v431_growth_balance,427,command
play,economy,도시명예전당,도시명예전당,cityhalloffame | blackcitylegends,세력·거래·건설·도시 기록의 명예 전당입니다.,v1320_black_city_complete,714,command
play,economy,도시시세,도시시세,marketprices | cityprices,최근 체결가와 평균가를 확인합니다.,v1320_black_city_complete,524,command
play,economy,도시운영,도시운영,cityoperations | blackcityops,BLACK CITY 운영 설정·백업·경제 상태를 확인합니다.,v1320_black_city_complete,746,command
play,economy,도시판매취소,도시판매취소,marketcancel | cancelcitylisting,본인의 도시 거래소 판매 글을 취소합니다.,v1320_black_city_complete,503,command
play,economy,서버상권,서버상권,servermarket | businessdistrict,서버에 개설된 사업 목록을 확인합니다.,v1220_chaos_festival_complete,1473,command
play,economy,선물거래,선물거래,감염선물 | 레버리지,,v640_interactive_arcade,718,command
play,economy,지역경제,지역경제,무역경제 | 경제동향,지역별 수요와 서버 공동 경제 상태를 확인합니다.,v900_faction_world_state,841,command
play,gambling,게임도시,게임도시,gamecity | cardcity | gamingcity,카드룸·경마·리그·관전·장부를 한 화면에서 확인합니다.,v1100_game_city_overhaul,128,command
play,gambling,게임도시검수,게임도시검수,gamecityaudit | v1100audit,v11.0.0에서 변경한 결과·레이즈·경마·화투·장부만 검사합니다.,v1100_game_city_overhaul,258,command
play,gambling,경마배당검수,경마배당검수,raceoddsaudit | dynamicoddsaudit | v1142audit,v11.4.2에서 추가한 경주별 랜덤 배당과 정산 연결만 검사합니다.,v1142_dynamic_horse_odds,57,command
play,gambling,경마우승마도감,경마우승마도감,winninghorsecatalog | horsewinnerbook,내가 적중한 경마 우승마를 확인합니다.,v1190_event_broadcast_collection,672,command
play,gambling,경마장,경마장,racetrack | horsearena,경주마다 새로 바뀌는 배당과 실시간 경마 규칙을 확인합니다.,v1092_visual_status_horserace,540,command
play,gambling,경마전적,경마전적,horseracestats | racestats,내 실시간 경마 전적과 손익을 확인합니다.,v1092_visual_status_horserace,548,command
play,gambling,경마표시검수,경마표시검수,racetrackaudit | horsemarkeraudit | v1141audit,v11.4.1에서 수정한 말 표식과 공통 결승선만 검사합니다.,v1141_horse_marker_hotfix,50,command
play,gambling,도박정보,도박정보,도박도움말,,v36_gambling_market,881,command
play,gambling,매도,매도,,인수를 생략하면 드롭다운에서 보유 코인을 판매합니다.,v36_gambling_market,900,command
play,gambling,매수,매수,,식량으로 암시장 종목을 구매합니다.,v36_gambling_market,896,command
play,gambling,생존룰렛,생존룰렛,survivalroulette | saferoulette,안전 구역을 고르는 생존 룰렛을 시작합니다.,v1220_chaos_festival_complete,917,command
play,gambling,시세,시세,암시장시세,,v36_gambling_market,851,command
play,gambling,실시간보드,실시간보드,liveboard | gameliveboard | livestatusboard,진행 중인 카드게임과 경마를 이미지 보드로 확인합니다.,v1095_gameplay_polish_patch,178,command
play,gambling,알림상태,알림상태,,암시장 자동 알림 채널과 상태를 확인합니다.,v37_gambling_experience,1042,command
play,gambling,알림해제,알림해제,,이 서버의 암시장 자동 알림을 해제합니다.,v37_gambling_experience,1038,command
play,gambling,암시장기록,암시장기록,투자기록,,v36_gambling_market,877,command
play,gambling,암시장알림상태,암시장알림상태,,,v37_gambling_experience,1028,command
play,gambling,암시장알림설정,암시장알림설정,,,v37_gambling_experience,1020,command
play,gambling,암시장알림해제,암시장알림해제,,,v37_gambling_experience,1024,command
play,gambling,자산,자산,,보유 종목의 평가금과 손익을 확인합니다.,v36_gambling_market,914,command
play,gambling,중계,중계,경기중계 | broadcast | livebroadcast,현재 채널의 카드게임 또는 서버의 진행 중 경마를 공개 정보만으로 실시간 중계합니다.,v1190_event_broadcast_collection,610,command
play,gear,강화기록,강화기록,,최근 강화 결과 10개를 확인합니다.,v432_forge_live,1059,command
play,gear,강화랭킹,강화랭킹,,,v21_reborn,525,command
play,gear,강화연출,강화연출,,강화 단계별 장비 표시 이름과 장인의 열기를 안내합니다.,v432_forge_live,1077,command
play,gear,강화정보,강화정보,,,v21_reborn,466,command
